#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T20:27:18', checksum=2945867503, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
2500,6.96344E+05,nonstructural,RMasonry,2.48804E-02,4.00000E-04
50,2.35595E-09,occupants,RMasonry,5.11297E-12,2.00000E-02
100,7.16303E-06,occupants,RMasonry,1.55455E-08,1.00000E-02
250,4.45307E-04,occupants,RMasonry,9.66420E-07,4.00000E-03
500,3.72245E-03,occupants,RMasonry,8.07859E-06,2.00000E-03
1000,1.95479E-02,occupants,RMasonry,4.24236E-05,1.00000E-03
2500,1.02323E-01,occupants,RMasonry,2.22064E-04,4.00000E-04
25,2.07226E-01,structural,RMasonry,1.41832E-08,4.00000E-02
50,2.19630E+01,structural,RMasonry,1.50323E-06,2.00000E-02
100,3.75206E+02,structural,RMasonry,2.56805E-05,1.00000E-02
250,5.55772E+03,structural,RMasonry,3.80390E-04,4.00000E-03
500,2.64240E+04,structural,RMasonry,1.80855E-03,2.00000E-03
1000,9.49062E+04,structural,RMasonry,6.49572E-03,1.00000E-03
2500,3.68521E+05,structural,RMasonry,2.52229E-02,4.00000E-04
25,1.85597E+00,contents,Steel,3.37968E-08,4.00000E-02
50,7.76253E+01,contents,Steel,1.41354E-06,2.00000E-02
100,1.00960E+03,contents,Steel,1.83846E-05,1.00000E-02
250,1.31368E+04,contents,Steel,2.39217E-04,4.00000E-03
500,5.88882E+04,contents,Steel,1.07234E-03,2.00000E-03
1000,2.08196E+05,contents,Steel,3.79119E-03,1.00000E-03
2500,7.92308E+05,contents,Steel,1.44277E-02,4.00000E-04
25,5.60339E+01,nonstructural,Steel,5.20762E-07,4.00000E-02
50,1.35617E+03,nonstructural,Steel,1.26038E-05,2.00000E-02
100,1.00708E+04,nonstructural,Steel,9.35955E-05,1.00000E-02
250,7.14245E+04,nonstructural,Steel,6.63798E-04,4.00000E-03
500,2.25707E+05,nonstructural,Steel,2.09766E-03,2.00000E-03
1000,6.17498E+05,nonstructural,Steel,5.73884E-03,1.00000E-03
2500,1.97585E+06,nonstructural,Steel,1.83630E-02,4.00000E-04
25,1.22170E-09,occupants,Steel,8.06446E-13,4.00000E-02
50,9.15944E-06,occupants,Steel,6.04615E-09,2.00000E-02
100,2.36470E-04,occupants,Steel,1.56094E-07,1.00000E-02
250,4.00160E-03,occupants,Steel,2.64146E-06,4.00000E-03
500,1.90557E-02,occupants,Steel,1.25787E-05,2.00000E-03
1000,6.73275E-02,occupants,Steel,4.44430E-05,1.00000E-03
2500,2.61802E-01,occupants,Steel,1.72816E-04,4.00000E-04
25,9.52208E+00,structural,Steel,1.54189E-07,4.00000E-02
50,4.56103E+02,structural,Steel,7.38556E-06,2.00000E-02
100,4.97602E+03,structural,Steel,8.05754E-05,1.00000E-02
250,5.05255E+04,structural,Steel,8.18147E-04,4.00000E-03
500,1.98732E+05,structural,Steel,3.21802E-03,2.00000E-03
1000,6.35524E+05,structural,Steel,1.02909E-02,1.00000E-03
2500,2.33033E+06,structural,Steel,3.77344E-02,4.00000E-04
25,2.35748E+03,contents,URMasonry,3.31593E-05,4.00000E-02
50,3.37745E+04,contents,URMasonry,4.75056E-04,2.00000E-02
100,1.60728E+05,contents,URMasonry,2.26073E-03,1.00000E-02
250,6.50687E+05,contents,URMasonry,9.15225E-03,4.00000E-03
500,1.33396E+06,contents,URMasonry,1.87629E-02,2.00000E-03
1000,2.36066E+06,contents,URMasonry,3.32040E-02,1.00000E-03
2500,4.40099E+06,contents,URMasonry,6.19022E-02,4.00000E-04
25,2.56730E+03,nonstructural,URMasonry,1.68318E-05,4.00000E-02
50,3.98888E+04,nonstructural,URMasonry,2.61521E-04,2.00000E-02
100,2.26414E+05,nonstructural,URMasonry,1.48443E-03,1.00000E-02
250,1.21737E+06,nonstructural,URMasonry,7.98137E-03,4.00000E-03
500,3.27036E+06,nonstructural,URMasonry,2.14413E-02,2.00000E-03
1000,7.54246E+06,nonstructural,URMasonry,4.94503E-02,1.00000E-03
2500,1.85619E+07,nonstructural,URMasonry,1.21697E-01,4.00000E-04
50,1.58768E-07,occupants,URMasonry,5.46404E-11,2.00000E-02
100,1.01748E-04,occupants,URMasonry,3.50168E-08,1.00000E-02
250,6.78549E-03,occupants,URMasonry,2.33524E-06,4.00000E-03
500,5.84025E-02,occupants,URMasonry,2.00994E-05,2.00000E-03
1000,3.00545E-01,occupants,URMasonry,1.03433E-04,1.00000E-03
2500,1.56203E+00,occupants,URMasonry,5.37577E-04,4.00000E-04
25,7.73805E+01,structural,URMasonry,9.65577E-07,4.00000E-02
50,3.21684E+03,structural,URMasonry,4.01408E-05,2.00000E-02
100,3.48147E+04,structural,URMasonry,4.34428E-04,1.00000E-02
250,3.24749E+05,structural,URMasonry,4.05232E-03,4.00000E-03
500,1.16852E+06,structural,URMasonry,1.45811E-02,2.00000E-03
1000,3.27136E+06,structural,URMasonry,4.08211E-02,1.00000E-03
2500,9.35133E+06,structural,URMasonry,1.16689E-01,4.00000E-04
25,6.73166E+00,contents,Concrete,5.10240E-08,4.00000E-02
50,2.42696E+02,contents,Concrete,1.83957E-06,2.00000E-02
100,3.32226E+03,contents,Concrete,2.51818E-05,1.00000E-02
250,4.30896E+04,contents,Concrete,3.26607E-04,4.00000E-03
500,1.90274E+05,contents,Concrete,1.44222E-03,2.00000E-03
1000,6.47069E+05,contents,Concrete,4.90459E-03,1.00000E-03
2500,2.39012E+06,contents,Concrete,1.81164E-02,4.00000E-04
25,1.57164E+02,nonstructural,Concrete,4.85705E-07,4.00000E-02
50,3.26466E+03,nonstructural,Concrete,1.00892E-05,2.00000E-02
100,2.48607E+04,nonstructural,Concrete,7.68305E-05,1.00000E-02
250,1.72951E+05,nonstructural,Concrete,5.34496E-04,4.00000E-03
500,5.61433E+05,nonstructural,Concrete,1.73508E-03,2.00000E-03
1000,1.58496E+06,nonstructural,Concrete,4.89822E-03,1.00000E-03
2500,5.26257E+06,nonstructural,Concrete,1.62636E-02,4.00000E-04
50,7.07820E-06,occupants,Concrete,2.40554E-09,2.00000E-02
100,3.23387E-04,occupants,Concrete,1.09904E-07,1.00000E-02
250,8.62721E-03,occupants,Concrete,2.93197E-06,4.00000E-03
500,5.04460E-02,occupants,Concrete,1.71442E-05,2.00000E-03
1000,1.99964E-01,occupants,Concrete,6.79580E-05,1.00000E-03
2500,8.26639E-01,occupants,Concrete,2.80934E-04,4.00000E-04
25,3.39393E+01,structural,Concrete,2.20060E-07,4.00000E-02
50,1.22023E+03,structural,Concrete,7.91184E-06,2.00000E-02
100,1.37003E+04,structural,Concrete,8.88313E-05,1.00000E-02
250,1.34408E+05,structural,Concrete,8.71488E-04,4.00000E-03
500,5.05334E+05,structural,Concrete,3.27654E-03,2.00000E-03
1000,1.55298E+06,structural,Concrete,1.00694E-02,1.00000E-03
2500,5.39762E+06,structural,Concrete,3.49977E-02,4.00000E-04
