id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
71616-RES3E-C2H-MC,-123.1253102,49.27968811,RES3E-C2H-MC,1,1447191,6592759,578876.4,451787.9,9.52,51.34,30.06,RES-HD,Residential-HD,RES3E,Concrete,C2H,1990-2004,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71617-COM3-RM1L-HC,-123.1253102,49.27968811,COM3-RM1L-HC,1,221920,362080,199728,57941.88,5.32,0.08,3.12,RES-HD,Commercial,COM3,RMasonry,RM1L,2005-2016,SSC-4,HC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71618-COM3-W3-MC,-123.1253102,49.27968811,COM3-W3-MC,1,221920,362080,199728,57941.88,5.32,0.08,3.12,RES-HD,Commercial,COM3,Wood,W3,1990-2004,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71619-COM4-C2H-MC,-123.1253102,49.27968811,COM4-C2H-MC,1,29134600,47535400,26221140,3579696.81,383.22,0,197.04,RES-HD,Commercial,COM4,Concrete,C2H,1973-1989,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71620-COM4-W3-MC,-123.1253102,49.27968811,COM4-W3-MC,2,3104676,5065524,2794208.4,480361.98,51.62,0,26.54,RES-HD,Commercial,COM4,Wood,W3,1990-2004,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71621-RES3C-W2-MC,-123.1253102,49.27968811,RES3C-W2-MC,1,291208.5,1326616.5,116483.4,138822.39,3.01,16.24,9.51,RES-HD,Residential-MD,RES3C,Wood,W2,1990-2004,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71622-COM3-URML-LC,-123.1253102,49.27968811,COM3-URML-LC,1,221920,362080,199728,57410.3,5.32,0.08,3.12,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71623-COM1-URML-LC,-123.1253102,49.27968811,COM1-URML-LC,1,624466.67,1018866.67,562020,133695.22,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71624-RES3B-W2-MC,-123.1253102,49.27968811,RES3B-W2-MC,1,257337,1172313,102934.8,112073.88,1.34,7.22,4.23,RES-HD,Residential-MD,RES3B,Wood,W2,1973-1989,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71625-COM3-C3L-PC,-123.1253102,49.27968811,COM3-C3L-PC,1,221920,362080,199728,241964.12,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C3L,Pre-1973,SSC-4,PC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71626-COM4-C3L-LC,-123.1253102,49.27968811,COM4-C3L-LC,1,1552338,2532762,1397104.2,738371.24,25.81,0,13.27,RES-HD,Commercial,COM4,Concrete,C3L,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71627-COM4-W3-MC,-123.1253102,49.27968811,COM4-W3-MC,1,1552338,2532762,1397104.2,240180.99,25.81,0,13.27,RES-HD,Commercial,COM4,Wood,W3,1973-1989,SSC-4,MC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145667-COM7-S5M-LC,-123.1270855,49.27980069,COM7-S5M-LC,1,5190420,8468580,4671378,1896555.01,72.73,0.52,37.4,RES-HD,Commercial,COM7,Steel,S5M,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145668-COM7-W3-MC,-123.1270855,49.27980069,COM7-W3-MC,1,1124040,1833960,1011636,107946.51,10.64,0.08,5.47,RES-HD,Commercial,COM7,Wood,W3,1990-2004,SSC-4,MC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145669-GOV1-W2-MC,-123.1270855,49.27980069,GOV1-W2-MC,1,1142280,5203720,1028052,241292.2,83.21,3.12,45.84,RES-HD,Civic,GOV1,Wood,W2,1990-2004,SSC-4,MC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145670-REL1-W2-MC,-123.1270855,49.27980069,REL1-W2-MC,1,515531.25,2348531.25,515531.25,128980.21,36.24,0,17.57,RES-HD,Civic,REL1,Wood,W2,1973-1989,SSC-4,MC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
