rlz_id,branch_path,weight
121,0~0BMUT,4.1666668e-04
122,0~14NUU,4.1666668e-04
123,0~06MST,4.1666668e-04
124,0~1JNVT,4.1666668e-04
125,0~34NST,4.1666668e-04
126,0~0ELUT,4.1666668e-04
127,0~2EMUV,4.1666668e-04
128,0~1JLTT,4.1666668e-04
129,0~0ANTU,4.1666668e-04
130,0~19LSU,4.1666668e-04
131,0~2JMVT,4.1666668e-04
132,0~2EMUS,4.1666668e-04
133,0~0EKVT,4.1666668e-04
134,0~19MTT,4.1666668e-04
135,0~38KSS,4.1666668e-04
136,0~3JNVU,4.1666668e-04
137,0~2ANVT,4.1666668e-04
138,0~0ELUV,4.1666668e-04
139,0~19NST,4.1666668e-04
140,0~18LTU,4.1666668e-04
141,0~3FNTV,4.1666668e-04
142,0~0IMVT,4.1666668e-04
143,0~2HMSU,4.1666668e-04
144,0~19NSU,4.1666668e-04
145,0~3ANUT,4.1666668e-04
146,0~0JLST,4.1666668e-04
147,0~3ANSU,4.1666668e-04
148,0~34LTU,4.1666668e-04
149,0~19NSS,4.1666668e-04
150,0~07NTT,4.1666668e-04
151,0~19MSS,4.1666668e-04
152,0~2GLTT,4.1666668e-04
153,0~2ANVU,4.1666668e-04
154,0~3AKST,4.1666668e-04
155,0~1BLSS,4.1666668e-04
156,0~19MTV,4.1666668e-04
157,0~17KVS,4.1666668e-04
158,0~0FMTU,4.1666668e-04
159,0~0AKTU,4.1666668e-04
160,0~1AKSV,4.1666668e-04
161,0~1DMST,4.1666668e-04
162,0~0BMUT,4.1666668e-04
163,0~0FNSV,4.1666668e-04
164,0~2AMSV,4.1666668e-04
165,0~3ALVU,4.1666668e-04
166,0~3AMUU,4.1666668e-04
167,0~2AKTT,4.1666668e-04
168,0~0BLUV,4.1666668e-04
169,0~26MVS,4.1666668e-04
170,0~1AKSS,4.1666668e-04
171,0~3AKTU,4.1666668e-04
172,0~09LVV,4.1666668e-04
173,0~2FKVV,4.1666668e-04
174,0~1ANUT,4.1666668e-04
175,0~1BMTT,4.1666668e-04
176,0~0ALTT,4.1666668e-04
177,0~09LVU,4.1666668e-04
178,0~2BMVU,4.1666668e-04
179,0~2AMVT,4.1666668e-04
180,0~27NTU,4.1666668e-04
181,0~34LTU,4.1666668e-04
182,0~15MSV,4.1666668e-04
183,0~3GNVS,4.1666668e-04
184,0~0BKTS,4.1666668e-04
185,0~2BLVS,4.1666668e-04
186,0~3ALSV,4.1666668e-04
187,0~3ILUV,4.1666668e-04
188,0~3ELSU,4.1666668e-04
189,0~1AMUT,4.1666668e-04
190,0~1BKTT,4.1666668e-04
191,0~1ALSS,4.1666668e-04
192,0~39LTU,4.1666668e-04
193,0~09MST,4.1666668e-04
194,0~34LSV,4.1666668e-04
195,0~0CKUT,4.1666668e-04
196,0~17KVT,4.1666668e-04
197,0~0BKUU,4.1666668e-04
198,0~27NSS,4.1666668e-04
199,0~2ANVT,4.1666668e-04
200,0~2AMUS,4.1666668e-04
201,0~1BMTT,4.1666668e-04
202,0~29KTU,4.1666668e-04
203,0~1AMVU,4.1666668e-04
204,0~19LTS,4.1666668e-04
205,0~39MUV,4.1666668e-04
206,0~0AMUT,4.1666668e-04
207,0~36NTS,4.1666668e-04
208,0~0ALSV,4.1666668e-04
209,0~2EKUT,4.1666668e-04
210,0~2FKVU,4.1666668e-04
211,0~19LUT,4.1666668e-04
212,0~08NVU,4.1666668e-04
213,0~2AKTV,4.1666668e-04
214,0~29KVU,4.1666668e-04
215,0~24MTS,4.1666668e-04
216,0~0DLVU,4.1666668e-04
217,0~2ALVU,4.1666668e-04
218,0~14MSS,4.1666668e-04
219,0~04KVV,4.1666668e-04
220,0~18NUU,4.1666668e-04
221,0~2ALUU,4.1666668e-04
222,0~1JNUU,4.1666668e-04
223,0~38MST,4.1666668e-04
224,0~1FMUT,4.1666668e-04
225,0~27KTV,4.1666668e-04
226,0~29NUT,4.1666668e-04
227,0~09MTU,4.1666668e-04
228,0~0HNUS,4.1666668e-04
229,0~2BNUV,4.1666668e-04
230,0~1AKUS,4.1666668e-04
231,0~3DNSS,4.1666668e-04
232,0~27NTU,4.1666668e-04
233,0~0DMTT,4.1666668e-04
234,0~19LST,4.1666668e-04
235,0~2AKVU,4.1666668e-04
236,0~0HMTS,4.1666668e-04
237,0~1ELVU,4.1666668e-04
238,0~1FKTU,4.1666668e-04
239,0~06MVV,4.1666668e-04
240,0~2AMSS,4.1666668e-04
241,0~1CLUT,4.1666668e-04
242,0~39MVT,4.1666668e-04
243,0~1DLUT,4.1666668e-04
244,0~16KST,4.1666668e-04
245,0~2ALVU,4.1666668e-04
246,0~1CKUS,4.1666668e-04
247,0~3ALTT,4.1666668e-04
248,0~36NVU,4.1666668e-04
249,0~09MUV,4.1666668e-04
250,0~1INUU,4.1666668e-04
251,0~07LVT,4.1666668e-04
252,0~29LTS,4.1666668e-04
253,0~15KUS,4.1666668e-04
254,0~3ANSU,4.1666668e-04
255,0~3ANTV,4.1666668e-04
256,0~36NUS,4.1666668e-04
257,0~37KSS,4.1666668e-04
258,0~29LTS,4.1666668e-04
259,0~3ANSU,4.1666668e-04
260,0~2DNVS,4.1666668e-04
261,0~3JMVT,4.1666668e-04
262,0~2BKTT,4.1666668e-04
263,0~2ALUV,4.1666668e-04
264,0~18MSV,4.1666668e-04
265,0~0BKTU,4.1666668e-04
266,0~24LSV,4.1666668e-04
267,0~2JMTS,4.1666668e-04
268,0~0EMSV,4.1666668e-04
269,0~08NSS,4.1666668e-04
270,0~17LUV,4.1666668e-04
271,0~19LTV,4.1666668e-04
272,0~38NTT,4.1666668e-04
273,0~34KVU,4.1666668e-04
274,0~04LSV,4.1666668e-04
275,0~18KSS,4.1666668e-04
276,0~14KSU,4.1666668e-04
277,0~3DNVV,4.1666668e-04
278,0~14MTT,4.1666668e-04
279,0~39LTU,4.1666668e-04
280,0~0DLVS,4.1666668e-04
281,0~37NVT,4.1666668e-04
282,0~34MTS,4.1666668e-04
283,0~1CKVS,4.1666668e-04
284,0~3BLUV,4.1666668e-04
285,0~2BKSV,4.1666668e-04
286,0~2BLTU,4.1666668e-04
287,0~26MTS,4.1666668e-04
288,0~2ALVT,4.1666668e-04
289,0~3AKST,4.1666668e-04
290,0~2AMSV,4.1666668e-04
291,0~3IKUV,4.1666668e-04
292,0~0ALSV,4.1666668e-04
293,0~2AMVS,4.1666668e-04
294,0~04KVT,4.1666668e-04
295,0~0GMUU,4.1666668e-04
296,0~3EKTU,4.1666668e-04
297,0~26NSV,4.1666668e-04
298,0~1CNTU,4.1666668e-04
299,0~3GMSU,4.1666668e-04
300,0~1JMSS,4.1666668e-04
301,0~19KSU,4.1666668e-04
302,0~29KUT,4.1666668e-04
303,0~2AKUS,4.1666668e-04
304,0~2ALUU,4.1666668e-04
305,0~1FLTT,4.1666668e-04
306,0~2ELTV,4.1666668e-04
307,0~0JLVV,4.1666668e-04
308,0~0AMUS,4.1666668e-04
309,0~0AKUS,4.1666668e-04
310,0~39KUS,4.1666668e-04
311,0~0JNTU,4.1666668e-04
312,0~2JNSV,4.1666668e-04
313,0~3JKVV,4.1666668e-04
314,0~1ALTU,4.1666668e-04
315,0~0FLUU,4.1666668e-04
316,0~3BMTU,4.1666668e-04
317,0~09MVU,4.1666668e-04
318,0~0JLUS,4.1666668e-04
319,0~14MTU,4.1666668e-04
320,0~0BKST,4.1666668e-04
321,0~0DMST,4.1666668e-04
322,0~1BLTV,4.1666668e-04
323,0~24MVT,4.1666668e-04
324,0~2BMVU,4.1666668e-04
325,0~24NSU,4.1666668e-04
326,0~04NVV,4.1666668e-04
327,0~0AMSS,4.1666668e-04
328,0~0BKUS,4.1666668e-04
329,0~0BNSV,4.1666668e-04
330,0~0IMSU,4.1666668e-04
331,0~2BNUT,4.1666668e-04
332,0~28KSS,4.1666668e-04
333,0~29MVU,4.1666668e-04
334,0~0AKTT,4.1666668e-04
335,0~1AMUT,4.1666668e-04
336,0~07KSS,4.1666668e-04
337,0~0BNVU,4.1666668e-04
338,0~3BMUV,4.1666668e-04
339,0~36MVS,4.1666668e-04
340,0~38KSS,4.1666668e-04
341,0~0GNUT,4.1666668e-04
342,0~2ENUU,4.1666668e-04
343,0~3BLSV,4.1666668e-04
344,0~2AKSV,4.1666668e-04
345,0~37LST,4.1666668e-04
346,0~39LUT,4.1666668e-04
347,0~0AKSU,4.1666668e-04
348,0~2DMVT,4.1666668e-04
