id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
71573-COM4-URMM-LC,-123.1228582,49.27809938,COM4-URMM-LC,3,10907520,17796480,9816768,1736464.98,377.28,2.7,193.98,RES-HD,Commercial,COM4,URMasonry,URMM,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71574-REL1-URMM-LC,-123.1228582,49.27809938,REL1-URMM-LC,1,515531.25,2348531.25,515531.25,127796.9,36.24,0,17.57,RES-HD,Civic,REL1,URMasonry,URMM,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71576-COM1-URMM-LC,-123.1228582,49.27809938,COM1-URMM-LC,1,624466.67,1018866.67,562020,133695.22,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URMM,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71578-IND2-URML-LC,-123.1228582,49.27809938,IND2-URML-LC,2,1229040,3322960,1659204,447485.77,32.33,0,14.25,RES-HD,Industrial,IND2,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71579-IND1-URML-LC,-123.1228582,49.27809938,IND1-URML-LC,1,1798200,4861800,2427570,290983.72,10.43,0,4.6,RES-HD,Industrial,IND1,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71583-COM4-URML-LC,-123.1228582,49.27809938,COM4-URML-LC,7,10866366,17729334,9779729.4,1665842.45,180.66,0,92.89,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71586-COM1-URML-LC,-123.1228582,49.27809938,COM1-URML-LC,3,1873400,3056600,1686060,401085.66,126.7,0.54,67,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71588-COM2-URML-LC,-123.1228582,49.27809938,COM2-URML-LC,1,1026000,1674000,923400,353899.11,39.73,0,17.51,RES-HD,Commercial,COM2,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71590-COM3-URML-LC,-123.1228582,49.27809938,COM3-URML-LC,6,1331520,2172480,1198368,344461.8,31.93,0.46,18.75,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71596-RES3B-URML-LC,-123.1228582,49.27809938,RES3B-URML-LC,1,257337,1172313,102934.8,111045.68,1.34,7.22,4.23,RES-HD,Residential-MD,RES3B,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71599-COM4-C3L-LC,-123.1228582,49.27809938,COM4-C3L-LC,1,1552338,2532762,1397104.2,738371.24,25.81,0,13.27,RES-HD,Commercial,COM4,Concrete,C3L,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71600-COM3-C3L-LC,-123.1228582,49.27809938,COM3-C3L-LC,4,887680,1448320,798912,712506.29,21.29,0.3,12.5,RES-HD,Commercial,COM3,Concrete,C3L,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71601-COM3-RM1L-PC,-123.1228582,49.27809938,COM3-RM1L-PC,1,221920,362080,199728,220797.7,5.32,0.08,3.12,RES-HD,Commercial,COM3,RMasonry,RM1L,Pre-1973,SSC-4,PC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
