#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
1000,8.35303E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.74916E-04,1.00000E-03
2500,1.78296E+06,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,8.00262E-04,4.00000E-04
5,3.06365E+02,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.59975E-08,2.00000E-01
10,2.44115E+03,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.86831E-07,1.00000E-01
25,2.28693E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.68711E-06,4.00000E-02
50,9.46640E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.11229E-05,2.00000E-02
100,3.20856E+05,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.77001E-05,1.00000E-02
250,1.23065E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.44600E-04,4.00000E-03
500,2.80905E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.30059E-04,2.00000E-03
1000,5.58914E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,6.56716E-04,1.00000E-03
2500,1.18230E+07,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.38918E-03,4.00000E-04
50,5.38867E-07,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.82033E-11,2.00000E-02
100,3.35091E-05,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.13196E-09,1.00000E-02
250,6.83081E-04,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.30749E-08,4.00000E-03
500,3.42253E-03,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.15615E-07,2.00000E-03
1000,1.15099E-02,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.88813E-07,1.00000E-03
2500,4.38383E-02,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.48089E-06,4.00000E-04
5,9.41907E+03,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.02751E-06,2.00000E-01
10,4.34272E+04,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.39585E-05,1.00000E-01
25,1.47182E+05,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.73077E-05,4.00000E-02
50,3.12211E+05,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.00352E-04,2.00000E-02
100,6.17478E+05,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.98472E-04,1.00000E-02
250,1.61480E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,5.19036E-04,4.00000E-03
500,3.06724E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,9.85883E-04,2.00000E-03
1000,5.21963E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.67771E-03,1.00000E-03
2500,9.44453E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.03569E-03,4.00000E-04
25,7.95076E+02,contents,Canada,West,Saskatchewan,1.39659E-08,4.00000E-02
50,5.49477E+04,contents,Canada,West,Saskatchewan,9.65182E-07,2.00000E-02
100,5.27392E+05,contents,Canada,West,Saskatchewan,9.26388E-06,1.00000E-02
250,3.61413E+06,contents,Canada,West,Saskatchewan,6.34839E-05,4.00000E-03
500,1.24017E+07,contents,Canada,West,Saskatchewan,2.17842E-04,2.00000E-03
1000,3.32101E+07,contents,Canada,West,Saskatchewan,5.83350E-04,1.00000E-03
2500,8.80516E+07,contents,Canada,West,Saskatchewan,1.54667E-03,4.00000E-04
25,1.30378E+03,nonstructural,Canada,West,Saskatchewan,5.89641E-09,4.00000E-02
50,1.24778E+05,nonstructural,Canada,West,Saskatchewan,5.64315E-07,2.00000E-02
100,1.63193E+06,nonstructural,Canada,West,Saskatchewan,7.38051E-06,1.00000E-02
250,1.38415E+07,nonstructural,Canada,West,Saskatchewan,6.25992E-05,4.00000E-03
500,5.12278E+07,nonstructural,Canada,West,Saskatchewan,2.31681E-04,2.00000E-03
1000,1.36419E+08,nonstructural,Canada,West,Saskatchewan,6.16965E-04,1.00000E-03
2500,3.51620E+08,nonstructural,Canada,West,Saskatchewan,1.59022E-03,4.00000E-04
50,2.09144E-05,occupants,Canada,West,Saskatchewan,1.85039E-11,2.00000E-02
100,4.22367E-03,occupants,Canada,West,Saskatchewan,3.73688E-09,1.00000E-02
250,1.30642E-01,occupants,Canada,West,Saskatchewan,1.15585E-07,4.00000E-03
500,8.44426E-01,occupants,Canada,West,Saskatchewan,7.47104E-07,2.00000E-03
1000,2.94519E+00,occupants,Canada,West,Saskatchewan,2.60575E-06,1.00000E-03
