#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
10,3.55472E+02,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.17674E-08,1.00000E-01
25,4.32078E+03,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,5.07685E-07,4.00000E-02
50,2.02968E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.38484E-06,2.00000E-02
100,8.34682E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,9.80740E-06,1.00000E-02
250,4.16527E+05,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.89413E-05,4.00000E-03
500,1.16963E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.37429E-04,2.00000E-03
1000,2.59373E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.04760E-04,1.00000E-03
2500,6.01494E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.06747E-04,4.00000E-04
250,5.26372E-05,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.77812E-09,4.00000E-03
500,5.29649E-04,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.78919E-08,2.00000E-03
1000,2.53838E-03,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,8.57480E-08,1.00000E-03
2500,1.45974E-02,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.93109E-07,4.00000E-04
10,1.04740E+04,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.36658E-06,1.00000E-01
25,6.81609E+04,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.19085E-05,4.00000E-02
50,1.55448E+05,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.99646E-05,2.00000E-02
100,3.36893E+05,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.08285E-04,1.00000E-02
250,7.36847E+05,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.36840E-04,4.00000E-03
500,1.35265E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.34774E-04,2.00000E-03
1000,2.46536E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.92426E-04,1.00000E-03
2500,5.76270E+06,structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.85227E-03,4.00000E-04
50,4.09810E+02,contents,Canada,West,Saskatchewan,7.19850E-09,2.00000E-02
100,4.65194E+04,contents,Canada,West,Saskatchewan,8.17135E-07,1.00000E-02
250,4.45830E+05,contents,Canada,West,Saskatchewan,7.83120E-06,4.00000E-03
500,1.44184E+06,contents,Canada,West,Saskatchewan,2.53266E-05,2.00000E-03
1000,4.27557E+06,contents,Canada,West,Saskatchewan,7.51024E-05,1.00000E-03
2500,1.38148E+07,contents,Canada,West,Saskatchewan,2.42663E-04,4.00000E-04
50,9.62855E+02,nonstructural,Canada,West,Saskatchewan,4.35457E-09,2.00000E-02
100,8.92298E+04,nonstructural,Canada,West,Saskatchewan,4.03547E-07,1.00000E-02
250,1.22946E+06,nonstructural,Canada,West,Saskatchewan,5.56031E-06,4.00000E-03
500,4.74669E+06,nonstructural,Canada,West,Saskatchewan,2.14672E-05,2.00000E-03
1000,1.67410E+07,nonstructural,Canada,West,Saskatchewan,7.57122E-05,1.00000E-03
2500,5.56210E+07,nonstructural,Canada,West,Saskatchewan,2.51549E-04,4.00000E-04
250,1.06081E-03,occupants,Canada,West,Saskatchewan,9.38551E-10,4.00000E-03
500,1.19832E-02,occupants,Canada,West,Saskatchewan,1.06021E-08,2.00000E-03
1000,1.07604E-01,occupants,Canada,West,Saskatchewan,9.52021E-08,1.00000E-03
2500,7.88510E-01,occupants,Canada,West,Saskatchewan,6.97632E-07,4.00000E-04
50,7.30853E+04,structural,Canada,West,Saskatchewan,8.67334E-07,2.00000E-02
100,2.25928E+06,structural,Canada,West,Saskatchewan,2.68118E-05,1.00000E-02
