#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:26:42', checksum=2938527266, investigation_time=1.0, risk_investigation_time=1.0"
event_id,contents,nonstructural,occupants,structural,rlz_id,rup_id,year
798,5.02267E+05,6.33972E+05,6.25300E-05,1.23585E+05,0,271,1
799,1.56282E+05,1.85509E+05,1.08511E-05,3.43972E+04,0,272,1
800,2.96496E+05,3.16331E+05,1.97168E-03,5.47535E+04,0,273,1
801,6.48326E+05,1.43394E+06,1.00909E-02,6.19334E+05,0,274,1
824,4.61392E+04,8.05888E+04,0.00000E+00,7.11715E+03,0,295,1
825,6.45146E+04,6.91016E+04,1.42977E-04,1.58712E+04,0,296,1
834,3.18820E+04,3.65601E+04,0.00000E+00,7.95265E+03,0,305,1
835,1.05831E+05,1.20552E+05,0.00000E+00,1.77997E+04,0,306,1
836,1.82333E+04,1.93318E+04,0.00000E+00,2.20213E+03,0,307,1
837,3.23893E+05,4.74294E+05,7.13901E-06,8.22592E+04,0,308,1
838,6.41056E+05,9.10204E+05,3.06104E-04,2.04597E+05,0,309,1
839,7.58404E+05,1.10301E+06,1.22396E-04,2.53429E+05,0,310,1
847,5.04831E+03,4.43005E+03,0.00000E+00,8.13634E+01,0,318,1
848,8.08283E+04,1.57497E+05,0.00000E+00,1.75650E+04,0,319,1
849,5.38410E+05,9.26384E+05,8.97294E-05,1.83346E+05,0,320,1
850,1.67423E+06,4.31268E+06,1.93663E-02,1.84122E+06,0,321,1
867,1.14864E+05,1.49767E+05,1.57000E-05,2.55093E+04,0,338,1
868,1.72016E+04,1.61708E+04,0.00000E+00,8.01480E+03,0,339,1
869,2.13090E+05,1.92743E+05,0.00000E+00,4.44156E+04,0,340,1
870,2.82370E+04,4.59306E+04,0.00000E+00,1.06637E+03,0,340,1
877,2.04752E+05,1.89539E+05,0.00000E+00,4.54640E+04,0,346,1
880,1.12227E+05,1.43340E+05,0.00000E+00,1.39780E+04,0,348,1
881,1.54649E+05,1.80031E+05,0.00000E+00,3.68182E+04,0,349,1
882,5.85380E+05,8.54621E+05,5.26764E-04,2.52368E+05,0,350,1
883,4.47845E+06,1.84272E+07,5.13509E-01,1.08443E+07,0,351,1
884,1.26499E+06,2.53607E+06,2.84322E-03,8.75539E+05,0,352,1
